Title,Body,Labels,Milestone
"NAV-MIR-001: Convert Dashboard, BPMN, DMN screens to TanStack Router routes","
As Mira, I want bookmarkable URLs for the Dashboard, BPMN modeler, and DMN modeler screens, so that I can return directly to where I was working.

**Acceptance Criteria:**

**Given** TanStack root route exists (Story 3.1)
**When** `src/routes/index.tsx` (Dashboard), `src/routes/bpmn.tsx`, and `src/routes/dmn.tsx` are added
**Then** navigating to `/`, `/bpmn`, `/dmn` renders the right screen
**And** the Sidebar nav items use `Link` components from TanStack Router with `data-active` driven by route match
**And** browser back/forward buttons work between the three.","type:user-story,state:backlog,area:nav,release:0.0.1",0.0.1
NAV-MIR-002: Convert Deployments + Definitions screens with detail routes,"
As Mira, I want `/deployments/:id` and `/definitions/:id` URLs that deep-link to a specific deployment or definition, so that I can share or bookmark them.

**Acceptance Criteria:**

**Given** Dashboard + BPMN + DMN are routed (Story 3.2)
**When** `src/routes/deployments/index.tsx`, `src/routes/deployments/$id.tsx`, `src/routes/definitions/index.tsx`, `src/routes/definitions/$id.tsx` are added
**Then** clicking a row navigates to the detail URL
**And** the detail route's loader fetches the resource via the appropriate `api.*` wrapper
**And** invalid IDs surface as `ErrorBox` with the verbatim engine 404 message (Pattern P-002, P-003).","type:user-story,state:backlog,area:nav,release:0.0.1",0.0.1
NAV-MIR-003: Convert Process Instances + Tasks + Jobs screens to routes,"
As Mira, I want every operations screen reachable via URL so that I can bookmark ""open dead-letter jobs"" or ""my tasks"" pre-filtered.

**Acceptance Criteria:**

**Given** detail routes pattern is established (Story 3.3)
**When** `src/routes/instances/index.tsx`, `src/routes/instances/$id.tsx`, `src/routes/tasks/index.tsx`, `src/routes/tasks/$id.tsx`, `src/routes/jobs.tsx` are added with search params for filters (`?type=executable|timer|deadletter`, `?assignee=me|all`)
**Then** `/jobs?type=deadletter` opens the Jobs screen with the dead-letter tab active
**And** `/tasks?assignee=me` filters tasks to the active user
**And** search param state is typed (TanStack Router auto-types via Zod schema).","type:user-story,state:backlog,area:nav,release:0.0.1",0.0.1
NAV-MIR-004: Convert History + Identity + Tenants screens to routes,"
As Mira, I want History, Identity, and Tenants screens routable for the same bookmarking + sharing reasons as Story 3.4.

**Acceptance Criteria:**

**Given** the other screen sets are routed (Stories 3.2-3.4)
**When** `src/routes/history.tsx`, `src/routes/identity/index.tsx`, `src/routes/identity/users.$id.tsx`, `src/routes/identity/groups.$id.tsx`, `src/routes/tenants.tsx` are added
**Then** all 11 screens (Dashboard, BPMN, DMN, Deployments, Definitions, Instances, Tasks, Jobs, History, Identity, Tenants) are reachable via URL
**And** the Sidebar Active state is driven by route match (not the legacy `view` state)
**And** the legacy `view` state in `App.tsx` is removed.","type:user-story,state:backlog,area:nav,release:0.0.1",0.0.1
NAV-SYS-002: Remove `VIEW_TITLE` and `ENDPOINT_BY_VIEW` legacy maps,"
As a maintainer, I want the legacy `VIEW_TITLE` and `ENDPOINT_BY_VIEW` constants gone, so that the three-place-to-update toil is eliminated. Per FR-F5 and the PRD ""add a new screen"" task simplification.

**Acceptance Criteria:**

**Given** every screen is now a TanStack Router route (Stories 3.2-3.5)
**When** `VIEW_TITLE` and `ENDPOINT_BY_VIEW` are removed from `src/App.tsx` and each route file declares its own `title` and `endpoints` metadata (via route `meta` or a small `useRouteMetadata()` hook)
**Then** the Topbar title comes from the active route's metadata
**And** the PageHead endpoint chips come from the active route's `endpoints` metadata
**And** adding a new screen requires editing exactly one file (the new route).

---","type:user-story,state:backlog,area:nav,release:0.0.1",0.0.1
FND-SYS-001: Add `check` and `unit` GitHub Actions jobs,"
As CI, I want `biome ci` + `tsc --noEmit` + `vitest run` to run on every PR, so that style/type/unit-test regressions block merge.

**Acceptance Criteria:**

**Given** Biome + Vitest are wired (Epics 1+2)
**When** `.github/workflows/ci.yml` is added with `check` job (Biome ci + tsc --noEmit) and `unit` job (vitest run) configured to run on `push` and `pull_request`
**Then** opening a PR triggers both jobs
**And** both jobs are listed in `.github/protection/required_checks.json`
**And** all GitHub Actions versions are SHA-pinned per NFR-26.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-002: Add `e2e` job with Docker Compose Flowable,"
As CI, I want Playwright E2E to run against a Dockerized Flowable on every PR, so that regressions in the Flowable REST contract or Flowatch's wrappers surface before merge.

**Acceptance Criteria:**

**Given** Playwright is wired (Story 2.3)
**When** `.github/workflows/ci.yml` includes an `e2e` job that runs `docker compose up -d`, waits for engine readiness, runs Playwright, and uploads the report as an artifact on failure
**Then** the job passes when Story 2.3's golden-path test passes
**And** the job runs in ≤ 5 minutes (target — Flowable cold-start is ~30s of that)
**And** Pattern P-009 (live-API only) is honored — no mocks.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-003: Add `build` job that uploads the `dist/` artifact,"
As CI, I want a `build` job that runs `vite build` and uploads `dist/`, so that the `pages` job can deploy it and so that build failures are caught before merge.

**Acceptance Criteria:**

**Given** Biome + TS are wired
**When** `.github/workflows/ci.yml` includes a `build` job running `npm ci && npm run build` and uploading `dist/` via `actions/upload-artifact@<pinned-sha>`
**Then** every PR has the build artifact attached
**And** the build size is reported in the job summary
**And** the job is listed in `.github/protection/required_checks.json`.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-004: Wire Dependabot SHA-pin bumps weekly,"
As a maintainer, I want Dependabot to bump SHA-pinned GitHub Actions weekly, so that the supply chain stays current without manual sweeps. Per NFR-26.

**Acceptance Criteria:**

**Given** `.github/dependabot.yml` is already configured for github-actions / npm / docker
**When** workflow files use commit-SHA pins (e.g. `actions/checkout@abc123...`)
**Then** Dependabot opens weekly PRs bumping the SHAs
**And** the PRs are labeled `area:ci-cd` per the dependabot config
**And** existing tests + check jobs gate the bump PRs.

---","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-005: Install commitlint and wire `.husky/commit-msg` hook,"
As CI, I want commit messages validated against Conventional Commits 1.0 before the commit is created, so that non-conforming commits are blocked at the hook level (not just at PR review).

**Acceptance Criteria:**

**Given** `.husky/commit-msg` exists (from the imported tooling) and invokes `npx commitlint --edit`
**When** `@commitlint/cli` + `@commitlint/config-conventional` are installed and `commitlint.config.cjs` is added at repo root with the scope vocabulary from `release.config.mjs` THEMES
**Then** running `git commit -m ""feat: bad scope""` succeeds (valid CC)
**And** running `git commit -m ""broken: bad type""` fails with a hook exit
**And** the new commitlint scopes match every theme in release.config.mjs (validated by `node scripts/release/check-scope.mjs`).","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-006: Wire semantic-release for automated release notes,"
As a maintainer, I want semantic-release to compute the version bump, generate the CHANGELOG entry, tag the commit, and publish a GitHub Release directly from the Conventional Commits range on each push to a release branch, so that I never hand-write a CHANGELOG. Per NFR-25.

**Acceptance Criteria:**

**Given** `semantic-release` is installed (per `package.json` devDependencies) and `release.config.mjs` is configured with Flowatch themes + the `release\/(\d+)\.(\d+)(?:\.(\d+))?` branch matcher (existing)
**When** `.github/workflows/release.yml` is added running `npx semantic-release` against `release/*` and `main` branches, with `GITHUB_TOKEN` granted `contents: write` + `issues: write` + `pull-requests: write` permissions, all action SHAs pinned per NFR-26
**Then** squash-merging `release/0.0.1 → main` triggers the workflow, which computes `v0.0.1` from the aggregated `feat:` commits, generates a CHANGELOG.md entry, creates the `v0.0.1` git tag, and publishes a GitHub Release with auto-generated notes
**And** the release notes use the theme structure from `release.config.mjs` (Modelers, Runtime, etc.)
**And** subsequent `release/x.y.z → main` merges follow the same flow without manual intervention.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-007: Add Apache 2.0 SPDX headers to all new source files,"
As a maintainer, I want every new source file under `src/` to start with an SPDX-License-Identifier header, so that license provenance is auditable per NFR-28.

**Acceptance Criteria:**

**Given** the repo is Apache 2.0 licensed (LICENSE file exists)
**When** every `.ts`, `.tsx`, `.css`, `.html` file under `src/` and `branding/` gets a top comment `// SPDX-License-Identifier: Apache-2.0` (or `/* … */` for CSS)
**Then** a CI grep check (`scripts/ci/check-spdx.sh`) passes
**And** the check is added to the `check` job in `.github/workflows/ci.yml`.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-008: Dependency license-compatibility check + NOTICE file + About-modal credits,"
As a maintainer, I want CI to verify every transitive dependency is license-compatible with Apache 2.0, plus a `NOTICE` file at repo root that mirrors into an ""About"" modal in the app, so that license obligations are visible to operators and enforced on every PR. Per NFR-29, NFR-30.

**Acceptance Criteria:**

**Given** `package.json` lists all production dependencies
**When** `license-checker --production --onlyAllow 'Apache-2.0;MIT;BSD-2-Clause;BSD-3-Clause;ISC;CC0-1.0' --excludePrivatePackages` runs in CI's `check` job
**Then** any disallowed license fails the build with the offending package name
**And** a `NOTICE` file at repo root enumerates each direct dependency + its license + its homepage URL, regenerated by `scripts/release/generate-notice.mjs` (drift between `NOTICE` and `package.json` fails CI)
**And** Flowatch's ""About"" modal (opened from the Settings gear menu) renders the same NOTICE content (fetched at build time, not at runtime — bundle remains air-gapped per NFR-9)
**And** the About modal shows: app name, version, git SHA (from Story 6.5), Apache 2.0 link, and a scrollable dependency credits list.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-SYS-009: Enforce ≤ 50 KB per source file limit in CI,"
As a maintainer, I want CI to block any source file exceeding 50 KB, so that the codebase stays navigable per NFR-21.

**Acceptance Criteria:**

**Given** `scripts/ci/check-file-size.sh` enumerates every `.ts`, `.tsx`, `.css` file under `src/`
**When** the script reports any file > 50 KB (51,200 bytes)
**Then** CI's `check` job fails with the offending path + size
**And** the check excludes `src/styles/tokens.css` only if it has a documented exemption comment (`/* size-exempt: design-token table */`) — every other file is enforced
**And** the script's threshold is configurable via env var (`MAX_SOURCE_FILE_BYTES`) so it can be temporarily relaxed in an emergency hotfix.

---","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-DAA-001: Verify one-command Docker stack reaches Dashboard in < 2 min,"
As Daan, I want `docker compose up -d && npm run dev` to land me on a working Dashboard in under 2 minutes on a fresh machine, so that the evaluation friction is minimal.

**Acceptance Criteria:**

**Given** a clean machine with Docker + Node 18 installed
**When** the user runs `docker compose up -d && npm install && npm run dev` and opens `http://localhost:5173`
**Then** the Dashboard renders with the connection indicator green within 120 seconds (including Docker pull + Flowable warmup on a typical broadband connection)
**And** the `bash scripts/dev/run-dev.sh` script automates this in one command (Epic 6 has this already from Phase-2 work)
**And** README.md ""Quick start"" section documents this end-to-end.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-MIR-001: Remove Google Fonts CDN from index.html (NFR-9 fix),"
As an air-gapped operator, I want Flowatch to load IBM Plex fonts from the project bundle rather than `fonts.googleapis.com`, so that I can run it without external network. Per NFR-9.

**Acceptance Criteria:**

**Given** `index.html` currently has `<link rel=""preconnect"" href=""https://fonts.googleapis.com"">` and a Google Fonts stylesheet link
**When** the IBM Plex font files (woff2) are self-hosted under `branding/fonts/` and `src/styles/fonts.css` declares `@font-face` rules pointing at them, and the Google Fonts links are removed from `index.html`
**Then** `npm run dev` shows the correct fonts (IBM Plex Sans, Mono, Serif) across all three looks
**And** browser DevTools Network tab shows zero requests to `fonts.googleapis.com` or `fonts.gstatic.com`
**And** the build output size increase is < 500 KB (woff2 fonts).","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-MIR-002: Harden nginx CORS proxy (production-aware config),"
As Mira, I want the nginx CORS config to work in both local dev (allow `http://localhost:5173`) and any production origin the operator configures via `ALLOWED_ORIGIN`, so that the same Docker image works in both contexts.

**Acceptance Criteria:**

**Given** `docker/nginx.conf` currently allows `http://localhost:5173`
**When** the config is parameterized via env var `ALLOWED_ORIGIN` (defaulting to `http://localhost:5173`) and rebuilt to use `envsubst`
**Then** running `docker compose up` with `ALLOWED_ORIGIN=https://your-flowatch-host.example` produces an nginx that allows that origin
**And** the default unchanged behavior works for local dev
**And** the OPTIONS preflight short-circuit (204) is preserved.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
"FND-DAA-002: README badges for build, license, and Flowable compatibility","
As Daan (evaluator landing on the GitHub repo), I want the README to display badges for build status, license, and the Flowable version Flowatch is tested against, so that I can assess project health and compatibility in seconds. Per FR-F11.

**Acceptance Criteria:**

**Given** the README has a top-of-file section above the ""Quick start""
**When** the maintainer adds shield.io badges for: (a) CI build status (`actions/workflows/ci.yml/badge.svg`), (b) license (`Apache-2.0`), (c) `tested against Flowable 7.2.0` (sourced from `docs/compat.md`'s tested version)
**Then** the three badges render at the top of the README in a single row
**And** the Flowable-version badge value is generated by `scripts/release/update-readme-badges.mjs` from `docs/compat.md` (single source of truth — no hard-coded duplication)
**And** the script is wired into the `check` job of `.github/workflows/ci.yml` so a drift between the README badge and `compat.md` fails CI.","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
FND-MIR-003: Surface git commit SHA + Flowable-tested version in chrome footer,"
As Mira (debugging a deployed Flowatch instance), I want the sidebar footer to show the git commit SHA the build was cut from plus the Flowable version Flowatch was tested against, so that I can correlate observed behavior to a specific build without inspecting bundle bytes. Per NFR-20.

**Acceptance Criteria:**

**Given** Vite builds the bundle and `define.__BUILD_SHA__` is injected at build time from `git rev-parse --short HEAD`
**When** the chrome footer (next to the `.conn-pill`) renders a small `<span class=""build-info"">` showing `build {sha} · tested vs Flowable {compat.testedVersion}`
**Then** dev builds show `build dev · tested vs Flowable 7.2.0` (no real SHA outside of CI)
**And** CI builds embed the actual short SHA
**And** the Flowable-tested version is sourced from a single constant emitted alongside the badge generator in Story 6.4 (no duplicate hard-coded literal)
**And** the footer text is selectable (for copy-paste into bug reports).

---","type:user-story,state:backlog,area:fnd,release:0.0.1",0.0.1
NAV-MIR-005: Load + persist connection config from localStorage,"
As Mira, I want my last-used Flowable connection settings to persist across browser sessions, so that I don't re-enter credentials every time. Per FR-1.

**Acceptance Criteria:**

**Given** the user has opened the Settings modal and saved `baseUrl=http://prod:8080/flowable-rest/service`, `username=admin`, `password=…`, `tenantId=acme`
**When** the user reloads the page
**Then** `api.config()` returns the persisted values
**And** the values come from `localStorage` key `flowatch.connection.v1` (per the rename — see project-context)
**And** if no localStorage value exists, defaults (`http://localhost:8080/flowable-rest/service`, `rest-admin`, `test`, no tenant) are used.","type:user-story,state:backlog,area:nav,release:0.0.2",0.0.2
NAV-MIR-006: Engine probe on app load surfaces connection state in chrome,"
As Mira, I want a visible indicator (green / red / pending) of whether Flowatch can reach my engine, so that I notice immediately if the engine is down. Per FR-2.

**Acceptance Criteria:**

**Given** Flowatch starts and reads the connection config from localStorage
**When** the app calls `api.ping()` on mount (which hits `/management/engine`) and the result resolves
**Then** the sidebar footer's `.conn-pill` shows `data-state=""ok""` (green dot) + `<engine-name> <version> @ <host>` text when the response is 200
**And** `data-state=""err""` (red dot) + `unreachable: <host>` text when the request fails (any reason — network, 401, timeout)
**And** the indicator is updated when `api.setConfig()` is called (without a full reload)
**And** the legacy `.conn-pill[data-state=""mock""]` value is removed from `styles.css` and any component that branched on it — the four-state contract (`ok`, `err`, `pending`, `unset`) is the complete enumeration (per CLAUDE.md ""the app talks only to the live engine — there is no mock fallback"").","type:user-story,state:backlog,area:nav,release:0.0.2",0.0.2
NAV-MIR-007: ErrorBox renders verbatim engine error message,"
As Mira, I want every error rendered in `ErrorBox` to show the literal engine response body (no friendly rewrites), so that I can diagnose what the engine actually said. Per FR-3 and Pattern P-003.

**Acceptance Criteria:**

**Given** a screen makes an API call that returns 4xx or 5xx with a JSON or text body
**When** `ErrorBox` renders the resulting `Error.message`
**Then** the displayed text is byte-for-byte identical to the engine's response body
**And** the HTTP status is shown as `HTTP NNN` above the message
**And** a `Retry` button calls the screen's `useApi.reload()`
**And** an `Open Inspector` link opens the API Inspector drawer scrolled to the failed call (the link is wired once Story 8.2 ships the drawer; until then it is rendered as a disabled hint).
**And** the legacy `.conn-pill[data-state=""mock""]` value is removed from the sidebar footer styles (mock-mode path was deleted from `api.ts`; the warn-yellow tri-state collapses to ok/err per UX §10).","type:user-story,state:backlog,area:nav,release:0.0.2",0.0.2
NAV-MIR-008: Dashboard with per-tile state handling,"
As Mira, I want a Dashboard that shows me the engine's current load at a glance — running instances, failing jobs, my open tasks, deployment count — and that keeps rendering tiles for whatever the engine *can* answer when other calls fail, so that one slow or broken endpoint doesn't blank the entire screen. Per FR-3 and NFR-6.

**Acceptance Criteria:**

**Given** the user navigates to `/` (Dashboard route, established in Story 3.2)
**When** the route loader fires four parallel API calls via `Promise.allSettled` (NFR-3):
  - `api.listProcessInstances({ size: 0 })` → Process Instances tile count
  - `api.listJobs({ size: 0, withException: true })` → Failing Jobs tile count
  - `api.listTasks({ size: 0, assignee: currentUser })` → My Tasks tile count
  - `api.listDeployments({ size: 0 })` → Deployments tile count
**Then** the Dashboard renders four KPI tiles in a `.kpi-grid` (per UX §10 chrome inventory)
**And** each tile renders **independently** one of four states:
  - **loading** — `.kpi-val` shows a shimmering skeleton matching the eventual digit width
  - **error** — `.kpi-val` shows `—` and a small inline `.badge[data-tone=""bad""]` reading ""HTTP 5xx"" with the verbatim engine message available on hover/Inspector deep-link
  - **empty** — `.kpi-val` shows `0` (legitimate empty state, not styled as error)
  - **data** — `.kpi-val` shows the integer count + `.kpi-lbl` (""Running instances"", ""Failing jobs"", ""My tasks"", ""Deployments"")
**And** **tile-level partial failure is verified by an integration test** — Playwright spins the Flowable stack, kills the jobs endpoint, reloads `/`, asserts: Process Instances + My Tasks + Deployments tiles render with data; Failing Jobs tile renders the error variant; no full-screen `ErrorBox` appears (NFR-6 contract)
**And** each tile is **clickable** — Process Instances → `/instances`, Failing Jobs → `/jobs?type=executable` (with `withException=true` preset), My Tasks → `/tasks?assignee=me`, Deployments → `/deployments`
**And** the Dashboard renders the four canonical states **per tile**, not per page (i.e. there is no top-level Dashboard ErrorBox; the page is ""tile-shaped"" not ""list-shaped"").

---","type:user-story,state:backlog,area:nav,release:0.0.2",0.0.2
INS-SAS-001: API_LOG ring buffer + window event bus,"
As Sasha, I want every Flowable REST call captured in an in-memory log so that I can inspect the REST traffic Flowatch generates. Per FR-6, FR-7, Pattern P-001.

**Acceptance Criteria:**

**Given** the `request()` funnel in `src/api/client.ts` (Pattern P-001)
**When** any API call is made
**Then** an entry `{ id, method, path, status, ms, at, error?, body? }` is unshifted into `API_LOG` (capped at 60)
**And** `window.dispatchEvent(new CustomEvent('api:log', { detail: entry }))` fires synchronously
**And** the entry's `Authorization` header is redacted in the log (per NFR-8).","type:user-story,state:backlog,area:ins,release:0.0.2",0.0.2
INS-SAS-002: ApiInspector drawer subscribes to api:log and renders entries,"
As Sasha, I want a right-edge drawer that shows API_LOG entries in real time, so that I can see exactly what Flowatch is doing when I click around. Per FR-7, UX spec Direction D-1.

**Acceptance Criteria:**

**Given** the API_LOG event bus fires (Story 8.1)
**When** the user clicks the Inspector icon in the Topbar
**Then** a drawer slides in from the right (320–480 px wide) and lists the 60 most-recent API calls
**And** each row shows: method (color-coded), path, status, ms, time-ago
**And** clicking a row expands it to show: full URL, request body (if any), response body (truncated to 4 KB)
**And** the drawer can be filtered by method and by status range (2xx / 4xx / 5xx).","type:user-story,state:backlog,area:ins,release:0.0.2",0.0.2
"INS-SAS-003: ""Copy as curl"" button per Inspector entry","
As Sasha, I want a ""Copy as curl"" button on each entry so that I can paste the request into a terminal and reproduce it verbatim. Per FR-9.

**Acceptance Criteria:**

**Given** an Inspector entry is expanded (Story 8.2)
**When** the user clicks the ""Copy as curl"" button
**Then** the clipboard contains a `curl` invocation with the method, URL, `-u <username>:<password>` from the active connection (NOT redacted in this case — clipboard is intentional), the `Content-Type` header if applicable, and the request body
**And** a toast confirms ""Copied curl command""
**And** the generated command, when pasted into a shell with the right tools, reproduces the call.","type:user-story,state:backlog,area:ins,release:0.0.2",0.0.2
INS-SYS-001: Pattern P-001 enforcement — Biome rule forbidding `fetch()` outside `src/api/`,"
As CI, I want a lint rule that fails the build if any file outside `src/api/client.ts` calls `fetch()` directly, so that Pattern P-001 is mechanically enforced.

**Acceptance Criteria:**

**Given** Biome is wired (Epic 1)
**When** `biome.json` adds a custom rule (or a grep-based pre-commit/CI script `scripts/ci/check-fetch-funnel.sh`) that fails when `\bfetch\(` appears outside `src/api/client.ts`
**Then** `npx biome check` fails on a file outside `src/api/` that uses `fetch()`
**And** the CI `check` job picks up the failure
**And** the rule is documented in CONTRIBUTING.md (Pattern P-001 enforcement).

---","type:user-story,state:backlog,area:ins,release:0.0.2",0.0.2
